code,name,name_official,name_clean,level,level_num,is_leaf,parent_code,major_code,middle_code,minor_code,detail_code,subdetail_code,major_name,middle_name,minor_name,detail_name,subdetail_name,major_name_filled,path_codes,path_names,kapp_industry_tag,industry_label_ko,diagnostic_unit,is_demo_target,context_level,excluded_flag,ncs_unit_code,ksco_code,keco_code,onet_soc_code,wage_survey_code,benchmark_group,benchmark_avg_K,benchmark_avg_A,benchmark_avg_P1,benchmark_avg_P2,benchmark_p10_total,key_skills,skill_industry_avg,career_path_mid,career_path_far
A,"농업, 임업 및 어업","농업, 임업 및 어업(01~03)","농업, 임업 및 어업",major,1,False,,A,,,,,"농업, 임업 및 어업",,,,,"농업, 임업 및 어업",A,"농업, 임업 및 어업",AGRICULTURE,농업·임업·어업,False,False,industry_overlay,False,,,,,,,,,,,,,,,
B,광업,광업(05~08),광업,major,1,False,,B,,,,,광업,,,,,광업,B,광업,MINING,광업,False,False,industry_overlay,False,,,,,,,,,,,,,,,
C,제조업,제조업(10~34),제조업,major,1,False,,C,,,,,제조업,,,,,제조업,C,제조업,MANUFACTURING,제조업,False,True,industry_overlay,False,,,,,,,,,,,,,,,
D,"전기, 가스, 증기 및 공기 조절 공급업","전기, 가스, 증기 및 공기 조절 공급업(35)","전기, 가스, 증기 및 공기 조절 공급업",major,1,False,,D,,,,,"전기, 가스, 증기 및 공기 조절 공급업",,,,,"전기, 가스, 증기 및 공기 조절 공급업",D,"전기, 가스, 증기 및 공기 조절 공급업",ENERGY,전기·가스·에너지,False,False,industry_overlay,False,,,,,,,,,,,,,,,
E,"수도, 하수 및 폐기물 처리, 원료 재생업","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","수도, 하수 및 폐기물 처리, 원료 재생업",major,1,False,,E,,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",E,"수도, 하수 및 폐기물 처리, 원료 재생업",ENVIRONMENT,환경·폐기물 처리,False,False,industry_overlay,False,,,,,,,,,,,,,,,
F,건설업,건설업(41~42),건설업,major,1,False,,F,,,,,건설업,,,,,건설업,F,건설업,CONSTRUCTION,건설·부동산,False,False,industry_overlay,False,,,,,,,,,,,,,,,
G,도매 및 소매업,도매 및 소매업(45~47),도매 및 소매업,major,1,False,,G,,,,,도매 및 소매업,,,,,도매 및 소매업,G,도매 및 소매업,RETAIL_TRADE,도매·소매업,False,True,industry_overlay,False,,,,,,,,,,,,,,,
H,운수 및 창고업,운수 및 창고업(49~52),운수 및 창고업,major,1,False,,H,,,,,운수 및 창고업,,,,,운수 및 창고업,H,운수 및 창고업,LOGISTICS,운수·창고업,False,False,industry_overlay,False,,,,,,,,,,,,,,,
I,숙박 및 음식점업,숙박 및 음식점업(55~56),숙박 및 음식점업,major,1,False,,I,,,,,숙박 및 음식점업,,,,,숙박 및 음식점업,I,숙박 및 음식점업,HOSPITALITY,숙박·음식·여행,False,False,industry_overlay,False,,,,,,,,,,,,,,,
J,정보통신업,정보통신업(58~63),정보통신업,major,1,False,,J,,,,,정보통신업,,,,,정보통신업,J,정보통신업,IT_TECH,정보통신업 (IT),False,True,industry_overlay,False,,,,,,,,,,,,,,,
K,금융 및 보험업,금융 및 보험업(64~66),금융 및 보험업,major,1,False,,K,,,,,금융 및 보험업,,,,,금융 및 보험업,K,금융 및 보험업,FINANCE,금융·보험업,False,True,industry_overlay,False,,,,,,,,,,,,,,,
L,부동산업,부동산업(68),부동산업,major,1,False,,L,,,,,부동산업,,,,,부동산업,L,부동산업,REAL_ESTATE,부동산업,False,False,industry_overlay,False,,,,,,,,,,,,,,,
