bridge_id,keco_code,keco_name,keco_major_name,keco_middle_name,keco_small_name,matched_ksco_code,jf_code,jf_name,jf_group_num,jf_group_label,mapping_method,confidence,status,source_version,created_at,updated_at,notes
BKJ_0001,0111,의회 의원,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,1111,JF_PUB_01,공무원·공공기관직,21,공공·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0002,0112,고위 공무원 및 정당·특수 단체 임원,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,1112,JF_PUB_01,공무원·공공기관직,21,공공·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0003,0113,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,1120,JF_STR_05,경영지원·일반관리,01,기획·전략,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0004,0121,정부 행정 관리자,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,1211,JF_PUB_01,공무원·공공기관직,21,공공·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0005,0122,경영 지원 관리자,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,1212,JF_STR_05,경영지원·일반관리,01,기획·전략,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0006,0123,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,1220,JF_MKT_01,브랜드마케팅,02,마케팅·홍보·조사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0007,0124,금융 및 보험 관리자,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,manual_confirmed,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-24,
BKJ_0008,0131,연구 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1311,JF_RND_01,자연과학·생명과학R&D,18,연구·R&D,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0009,0132,교육 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1312,JF_EDU_01,유아·초중고 교사·보육교사,20,교육,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0010,0133,법률·경찰·소방 및 교도 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1313,JF_PUB_04,군무원·경찰·소방,21,공공·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0011,0134,보건 의료 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1331,JF_PUB_05,보건·방역·사회서비스직,21,공공·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0012,0135,사회복지 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1332,JF_SOC_01,사회복지사·요양보호사,19,의료·복지,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0013,0136,문화·예술 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1340,JF_SVC_02,식·음료·F&B,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0014,0137,정보 통신 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1350,JF_AI_08,시스템·네트워크엔지니어,07,AI·데이터·인프라,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0015,0139,기타 전문 서비스 관리자,경영·사무·금융·보험직,관리직(임원·부서장),전문서비스 관리자,1390,JF_STR_02,경영컨설팅·자문,01,기획·전략,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0016,0141,숙박·여행·오락 및 스포츠 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),미용·여행·숙박·음식·경비·청소 관리자,1521,JF_SVC_01,호텔·항공·여행,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0017,0142,음식 서비스 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),미용·여행·숙박·음식·경비·청소 관리자,1522,JF_SVC_02,식·음료·F&B,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0018,0143,환경·청소 및 경비 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),미용·여행·숙박·음식·경비·청소 관리자,1530,JF_SVC_07,공공·사회서비스현장직,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0019,0151,영업 및 판매 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),영업·판매·운송 관리자,1511,JF_SAL_01,B2B영업·법인영업,09,영업·판매·무역,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0020,0152,운송 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),영업·판매·운송 관리자,1512,JF_OPS_06,운전·배송·물류현장직,11,구매·자재·물류,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0021,0159,기타 판매 및 고객 서비스 관리자,경영·사무·금융·보험직,관리직(임원·부서장),영업·판매·운송 관리자,1590,JF_SAL_06,영업관리·영업지원,09,영업·판매·무역,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0022,0161,건설 및 광업 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),건설·채굴·제조·생산 관리자,1411,JF_MFG_05,전기·전자·반도체엔지니어,13,생산·품질·안전,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0023,0162,전기·가스 및 수도 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),건설·채굴·제조·생산 관리자,1412,JF_MFG_05,전기·전자·반도체엔지니어,13,생산·품질·안전,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0024,0163,제품 생산 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),건설·채굴·제조·생산 관리자,1413,JF_MFG_05,전기·전자·반도체엔지니어,13,생산·품질·안전,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0025,0169,기타 건설·전기 및 생산 관련 관리자,경영·사무·금융·보험직,관리직(임원·부서장),건설·채굴·제조·생산 관리자,1490,JF_MFG_05,전기·전자·반도체엔지니어,13,생산·품질·안전,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0026,0211,정부 행정 전문가,경영·사무·금융·보험직,경영·행정·사무직,정부행정 전문가 및 관련 종사자,2721,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0027,0212,행정사,경영·사무·금융·보험직,경영·행정·사무직,정부행정 전문가 및 관련 종사자,2722,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0028,0221,경영 및 진단 전문가,경영·사무·금융·보험직,경영·행정·사무직,경영·인사 전문가,2815,JF_STR_01,경영기획·사업기획,01,기획·전략,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0029,0222,인사 및 노사 관련 전문가,경영·사무·금융·보험직,경영·행정·사무직,경영·인사 전문가,2811,JF_PRO_04,공인노무사,22,전문직·자격사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0030,0231,회계사,경영·사무·금융·보험직,경영·행정·사무직,회계·세무·감정 전문가,2812,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0031,0232,세무사,경영·사무·금융·보험직,경영·행정·사무직,회계·세무·감정 전문가,2813,JF_PRO_05,세무사·공인회계사,22,전문직·자격사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0032,0233,관세사,경영·사무·금융·보험직,경영·행정·사무직,회계·세무·감정 전문가,2814,JF_PRO_05,세무사·공인회계사,22,전문직·자격사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0033,0234,감정 관련 전문가,경영·사무·금융·보험직,경영·행정·사무직,회계·세무·감정 전문가,2841,JF_PRO_06,감정평가사·공인중개사,22,전문직·자격사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0034,0241,광고 및 홍보 전문가,경영·사무·금융·보험직,경영·행정·사무직,광고·조사·상품기획·행사기획 전문가,2833,JF_MKT_07,광고기획·AE,02,마케팅·홍보·조사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0035,0242,조사 전문가,경영·사무·금융·보험직,경영·행정·사무직,광고·조사·상품기획·행사기획 전문가,2834,JF_MKT_08,시장조사·리서치·인사이트,02,마케팅·홍보·조사,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0036,0243,상품 기획 전문가,경영·사무·금융·보험직,경영·행정·사무직,광고·조사·상품기획·행사기획 전문가,2831,JF_STR_04,상품기획·PO·서비스기획,01,기획·전략,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0037,0244,행사·전시 및 회의 기획자,경영·사무·금융·보험직,경영·행정·사무직,광고·조사·상품기획·행사기획 전문가,2835,JF_MED_01,PD·감독·연출,16,미디어·문화·스포츠,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0038,0251,조세 행정 사무원,경영·사무·금융·보험직,경영·행정·사무직,정부행정 사무원,3521,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0039,0252,관세 행정 사무원,경영·사무·금융·보험직,경영·행정·사무직,정부행정 사무원,3522,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0040,0253,병무 행정 사무원,경영·사무·금융·보험직,경영·행정·사무직,정부행정 사무원,3523,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0041,0259,기타 정부 행정 사무원,경영·사무·금융·보험직,경영·행정·사무직,정부행정 사무원,3529,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0042,0261,경영 기획 사무원,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3111,JF_HR_01,인사기획·HR제너럴리스트,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0043,0262,영업 및 마케팅 사무원,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3112,JF_HR_01,인사기획·HR제너럴리스트,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0044,0263,인사 및 노무 사무원,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3121,JF_HR_01,인사기획·HR제너럴리스트,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0045,0264,교육 및 훈련 사무원,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3122,JF_HR_01,인사기획·HR제너럴리스트,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0046,0265,총무 사무원 및 대학 행정조교,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3710,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0047,0266,감사 사무원,경영·사무·금융·보험직,경영·행정·사무직,경영지원 사무원,3512,JF_FIN_04,자금·예산관리,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0048,0271,회계 사무원,경영·사무·금융·보험직,경영·행정·사무직,회계·경리 사무원,3311,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0049,0272,경리 사무원,경영·사무·금융·보험직,경영·행정·사무직,회계·경리 사무원,3312,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0050,0281,무역 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3223,JF_SVC_01,호텔·항공·여행,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0051,0282,도로 및 철도운송 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3221,JF_SVC_01,호텔·항공·여행,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0052,0283,수상 및 항공운송 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3222,JF_SVC_01,호텔·항공·여행,15,서비스·식음료,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0053,0284,자재관리 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3211,JF_OPS_02,자재관리·재고관리,11,구매·자재·물류,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0054,0285,생산 및 품질관리 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3212,JF_MFG_02,품질관리·QC·품질보증,13,생산·품질·안전,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0055,0289,기타 운송 및 무역 사무원,경영·사무·금융·보험직,경영·행정·사무직,무역·운송·생산·품질 사무원,3229,JF_OPS_07,수출입·통관,11,구매·자재·물류,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0056,0291,안내·접수원 및 전화교환원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3612,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0057,0292,고객 상담 및 모니터 요원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3620,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0058,0293,통계·데이터 관련 사무원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3320,JF_AI_04,데이터분석가·BI·DBA,07,AI·데이터·인프라,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0059,0294,비서,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3721,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0060,0295,전산 자료 입력원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3723,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0061,0296,속기사,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3724,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0062,0297,자원봉사 관리원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3725,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0063,0299,기타 사무 지원 종사원,경영·사무·금융·보험직,경영·행정·사무직,안내·고객상담·통계·비서 및 기타 사무원,3729,JF_HR_04,조직개발·OD·조직문화,04,인사·노무·HRD,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0064,0311,투자 및 신용 분석가,경영·사무·금융·보험직,금융·보험직,금융·보험 전문가,2821,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0065,0312,자산 운용가,경영·사무·금융·보험직,금융·보험직,금융·보험 전문가,2822,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
BKJ_0066,0313,금융 및 보험 상품 개발자,경영·사무·금융·보험직,금융·보험직,금융·보험 전문가,,JF_BNK_05,보험상품개발·계리,17,금융·보험,manual_confirmed,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-24,
BKJ_0067,0314,증권 및 외환 딜러,경영·사무·금융·보험직,금융·보험직,금융·보험 전문가,2824,JF_FIN_01,재무기획·FP&A·IR,03,회계·세무·재무,name_match,high,active,KECO_2025/JF_v12,2026-03-23,2026-03-23,
