ksco_code,job_name,major_category,middle_category,small_category,old_jf_code,mapping_method,review_status,review_note,new_jf_code_v12
1111,의회 의원,관리자,의회‧정부 및 기업 고위직,의회 의원‧고위 공무원 및 공공단체 임원,JF_BIZ_01,manual_fix,confirmed,,JF_PUB_01
1112,고위 공무원 및 정당‧특수 단체 임원,관리자,의회‧정부 및 기업 고위직,의회 의원‧고위 공무원 및 공공단체 임원,JF_BIZ_01,manual_fix,confirmed,,JF_PUB_01
1120,기업 대표 및 기업 고위 임원,관리자,의회‧정부 및 기업 고위직,기업 대표 및 기업 고위 임원,JF_BIZ_01,manual_fix,confirmed,,JF_STR_05
1211,정부 행정 관리자,관리자,행정‧경영 지원 및 마케팅 관리직,행정 및 경영 지원 관리자,JF_MKT_01,manual_fix,confirmed,,JF_PUB_01
1212,경영 지원 관리자,관리자,행정‧경영 지원 및 마케팅 관리직,행정 및 경영 지원 관리자,JF_MKT_01,manual_fix,confirmed,,JF_STR_05
1220,마케팅 및 광고‧홍보 관리자,관리자,행정‧경영 지원 및 마케팅 관리직,마케팅 및 광고‧홍보 관리자,JF_MKT_01,manual_fix,confirmed,,JF_MKT_01
1311,연구 관리자,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,JF_EDU_01,unchanged,confirmed,,JF_RND_01
1312,교육 관리자,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,JF_EDU_01,unchanged,confirmed,,JF_EDU_01
1313,법률‧경찰‧소방 및 교도 관리자,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,JF_EDU_01,unchanged,confirmed,,JF_PUB_04
1320,보험 및 금융 관리자,관리자,전문 서비스 관리직,보험 및 금융 관리자,JF_FIN_01,unchanged,confirmed,,JF_FIN_01
1331,보건 의료 관련 관리자,관리자,전문 서비스 관리직,보건 및 사회복지 관련 관리자,JF_EDU_02,manual_fix,confirmed,,JF_PUB_05
1332,사회복지 관련 관리자,관리자,전문 서비스 관리직,보건 및 사회복지 관련 관리자,JF_EDU_02,unchanged,confirmed,,JF_SOC_01
1340,문화‧예술 관련 관리자,관리자,전문 서비스 관리직,문화‧예술 관련 관리자,JF_SVC_02,unchanged,confirmed,,JF_SVC_02
1350,정보 통신 관련 관리자,관리자,전문 서비스 관리직,정보 통신 관련 관리자,JF_BIZ_01,manual_fix,confirmed,,JF_AI_08
1390,기타 전문 서비스 관리자,관리자,전문 서비스 관리직,기타 전문 서비스 관리자,JF_BIZ_01,manual_fix,confirmed,,JF_STR_02
1411,건설 및 광업 관련 관리자,관리자,건설‧전기 및 생산 관련 관리직,건설‧전기 및 생산 관련 관리자,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
1412,전기‧가스 및 수도 관련 관리자,관리자,건설‧전기 및 생산 관련 관리직,건설‧전기 및 생산 관련 관리자,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
1413,제품 생산 관련 관리자,관리자,건설‧전기 및 생산 관련 관리직,건설‧전기 및 생산 관련 관리자,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
1490,기타 건설‧전기 및 생산 관련 관리자,관리자,건설‧전기 및 생산 관련 관리직,기타 건설‧전기 및 생산 관련 관리자,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
1511,영업 및 판매 관련 관리자,관리자,판매 및 고객 서비스 관리직,판매 및 운송 관리자,JF_SALES_01,manual_fix,confirmed,,JF_SAL_01
1512,운송 관련 관리자,관리자,판매 및 고객 서비스 관리직,판매 및 운송 관리자,JF_SALES_01,manual_fix,confirmed,,JF_OPS_06
1521,숙박‧여행‧오락 및 스포츠 관련 관리자,관리자,판매 및 고객 서비스 관리직,고객 서비스 관리자,JF_SALES_01,manual_fix,confirmed,,JF_SVC_01
1522,음식 서비스 관련 관리자,관리자,판매 및 고객 서비스 관리직,고객 서비스 관리자,JF_SALES_01,manual_fix,confirmed,,JF_SVC_02
1530,환경‧청소 및 경비 관련 관리자,관리자,판매 및 고객 서비스 관리직,환경‧청소 및 경비 관련 관리자,JF_SALES_01,manual_fix,confirmed,,JF_SVC_07
1590,기타 판매 및 고객 서비스 관리자,관리자,판매 및 고객 서비스 관리직,기타 판매 및 고객 서비스 관리자,JF_SALES_01,manual_fix,confirmed,,JF_SAL_06
2111,생명과학 연구원,"전문가 및 관련
종사자",과학 전문가 및 관련직,생명 및 자연과학 관련 전문가,JF_RND_01,unchanged,confirmed,,JF_RND_01
2112,자연과학 연구원,"전문가 및 관련
종사자",과학 전문가 및 관련직,생명 및 자연과학 관련 전문가,JF_RND_01,unchanged,confirmed,,JF_RND_01
2121,인문과학 연구원,"전문가 및 관련
종사자",과학 전문가 및 관련직,인문 및 사회과학 전문가,JF_BIZ_02,manual_fix,confirmed,,JF_RND_01
2122,사회과학 연구원,"전문가 및 관련
종사자",과학 전문가 및 관련직,인문 및 사회과학 전문가,JF_BIZ_02,manual_fix,confirmed,,JF_STR_02
2131,생명과학 시험원,"전문가 및 관련
종사자",과학 전문가 및 관련직,생명 및 자연과학 관련 시험원,JF_RND_01,unchanged,confirmed,,JF_RND_01
2132,농림어업 관련 시험원,"전문가 및 관련
종사자",과학 전문가 및 관련직,생명 및 자연과학 관련 시험원,JF_RND_01,unchanged,confirmed,,JF_RND_01
2133,자연과학 시험원,"전문가 및 관련
종사자",과학 전문가 및 관련직,생명 및 자연과학 관련 시험원,JF_RND_01,unchanged,confirmed,,JF_RND_01
2211,컴퓨터 하드웨어 기술자 및 연구원,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 하드웨어 및 통신공학 전문가,JF_DATA_03,manual_fix,confirmed,,JF_DEV_06
2212,통신공학 기술자 및 연구원,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 하드웨어 및 통신공학 전문가,JF_DATA_03,manual_fix,confirmed,,JF_MFG_08
2221,컴퓨터 시스템 전문가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 시스템 및 소프트웨어 전문가,JF_DATA_03,manual_fix,confirmed,,JF_AI_08
2222,시스템 소프트웨어 개발자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 시스템 및 소프트웨어 전문가,JF_DATA_03,manual_fix,confirmed,,JF_DEV_01
2223,응용 소프트웨어 개발자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 시스템 및 소프트웨어 전문가,JF_DATA_03,manual_fix,confirmed,,JF_DEV_03
2224,웹 개발자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 시스템 및 소프트웨어 전문가,JF_DATA_03,manual_fix,confirmed,,JF_DEV_02
2229,기타 컴퓨터 시스템 및 소프트웨어 전문가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,컴퓨터 시스템 및 소프트웨어 전문가,JF_DATA_03,manual_fix,confirmed,,JF_DEV_03
2231,네트워크 시스템 개발자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,네트워크 및 정보 보안 전문가,JF_DATA_03,manual_fix,confirmed,,JF_AI_08
2232,정보 보안 전문가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,네트워크 및 정보 보안 전문가,JF_DATA_06,manual_fix,confirmed,,JF_AI_09
2239,기타 네트워크 및 정보 보안 전문가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,네트워크 및 정보 보안 전문가,JF_DATA_06,manual_fix,confirmed,,JF_AI_09
2241,데이터 시스템 전문가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,데이터 전문가,JF_DATA_01,manual_fix,confirmed,,JF_AI_03
2242,데이터 분석가,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,데이터 전문가,JF_DATA_01,manual_fix,confirmed,,JF_AI_04
2251,정보 시스템 운영자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,정보 시스템 및 웹 운영자,JF_DATA_03,manual_fix,confirmed,,JF_AI_08
2252,웹 운영자,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,정보 시스템 및 웹 운영자,JF_DATA_03,manual_fix,confirmed,,JF_AI_08
2260,통신 및 방송 송출 장비 기사,"전문가 및 관련
종사자",정보 통신 전문가 및 기술직,통신 및 방송 송출 장비 기사,JF_DES_03,unchanged,confirmed,,JF_DES_03
2311,건축가,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2312,건축공학 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2313,토목공학 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2314,조경 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2315,도시 및 교통 관련 전문가,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2316,측량 및 공간정보 전문가,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2317,건설자재 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,건축‧토목 공학 기술자 및 시험원,JF_MFG_05,unchanged,confirmed,,JF_MFG_05
2321,화학공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,화학공학 기술자 및 시험원,JF_RND_03,unchanged,confirmed,,JF_RND_03
2322,화학공학 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,화학공학 기술자 및 시험원,JF_RND_03,unchanged,confirmed,,JF_RND_03
2331,금속‧재료공학 연구원 및 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,금속‧재료공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2332,금속 및 재료공학 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,금속‧재료공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2341,전기공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,전기‧전자공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2342,반도체공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,전기‧전자공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2343,전자공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,전기‧전자공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2344,전기 및 전자공학 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,전기‧전자공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2351,기계공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,기계‧로봇공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2352,로봇공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,기계‧로봇공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2353,기계 및 로봇공학 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,기계‧로봇공학 기술자 및 시험원,JF_RND_02,unchanged,confirmed,,JF_RND_02
2361,방재 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,소방‧방재‧산업안전 기술자 및 시험원,JF_BIZ_02,manual_fix,confirmed,,JF_MFG_03
2362,소방공학 기술자 및 연구원,"전문가 및 관련
종사자",공학 전문가 및 기술직,소방‧방재‧산업안전 기술자 및 시험원,JF_BIZ_02,manual_fix,confirmed,,JF_RND_01
2363,산업안전 및 산업위험 관리 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,소방‧방재‧산업안전 기술자 및 시험원,JF_BIZ_02,manual_fix,confirmed,,JF_MFG_03
2364,산업보건 및 산업환경 관리 기술자,"전문가 및 관련
종사자",공학 전문가 및 기술직,소방‧방재‧산업안전 기술자 및 시험원,JF_RND_03,unchanged,confirmed,,JF_RND_03
2365,소방‧방재 및 산업안전 시험원,"전문가 및 관련
종사자",공학 전문가 및 기술직,소방‧방재‧산업안전 기술자 및 시험원,JF_BIZ_02,manual_fix,confirmed,,JF_MFG_03
