ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
1110,곡물 및 기타 식량작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1121,채소작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1122,화훼작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1123,종자 및 묘목 생산업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1131,과실작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1132,음료용 및 향신용 작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1140,기타 작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1151,"채소, 화훼 및 과실작물 시설 재배업",AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1159,기타 시설작물 재배업,AGRICULTURE,농업·임업·어업,JF_AGR_01,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1211,젖소 사육업,AGRICULTURE,농업·임업·어업,JF_AGR_02,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
1212,육우 사육업,AGRICULTURE,농업·임업·어업,JF_AGR_02,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
