code,name,level,level_num,parent_code,name_official,name_clean,major_code,middle_code,small_code,detail_code,major_name,middle_name,small_name,detail_name,path_codes,path_names,child_count,is_leaf,source_system,source_version,effective_from,status,loaded_at,keco_code,version,updated_at,keco_major_code,keco_middle_code,keco_small_code,keco_detail_code
0,경영·사무·금융·보험직,major,1,,경영·사무·금융·보험직,경영·사무·금융·보험직,0,,,,경영·사무·금융·보험직,,,,0,경영·사무·금융·보험직,3,False,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0,v2,2026-03-18,0,,,
1,관리직(임원·부서장),middle,2,0.0,관리직(임원·부서장),관리직,0,1.0,,,경영·사무·금융·보험직,관리직(임원·부서장),,,0|01,경영·사무·금융·보험직|관리직(임원·부서장),6,False,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,01,v2,2026-03-18,0,01,,
11,의회의원·고위공무원 및 기업 고위임원,small,3,1.0,의회의원·고위공무원 및 기업 고위임원,의회의원·고위공무원 및 기업 고위임원,0,1.0,11.0,,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,,0|01|011,경영·사무·금융·보험직|관리직(임원·부서장)|의회의원·고위공무원 및 기업 고위임원,3,False,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,011,v2,2026-03-18,0,011,011,
111,의회 의원,detail,4,11.0,의회 의원,의회 의원,0,1.0,11.0,111.0,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,의회 의원,0|01|011|0111,경영·사무·금융·보험직|관리직(임원·부서장)|의회의원·고위공무원 및 기업 고위임원|의회 의원,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0111,v2,2026-03-18,0,011,0111,0111
112,고위 공무원 및 정당·특수 단체 임원,detail,4,11.0,고위 공무원 및 정당·특수 단체 임원,고위 공무원 및 정당·특수 단체 임원,0,1.0,11.0,112.0,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,고위 공무원 및 정당·특수 단체 임원,0|01|011|0112,경영·사무·금융·보험직|관리직(임원·부서장)|의회의원·고위공무원 및 기업 고위임원|고위 공무원 및 정당·특수 단체 임원,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0112,v2,2026-03-18,0,011,0112,0112
113,기업 대표 및 기업 고위 임원,detail,4,11.0,기업 대표 및 기업 고위 임원,기업 대표 및 기업 고위 임원,0,1.0,11.0,113.0,경영·사무·금융·보험직,관리직(임원·부서장),의회의원·고위공무원 및 기업 고위임원,기업 대표 및 기업 고위 임원,0|01|011|0113,경영·사무·금융·보험직|관리직(임원·부서장)|의회의원·고위공무원 및 기업 고위임원|기업 대표 및 기업 고위 임원,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0113,v2,2026-03-18,0,011,0113,0113
12,행정·경영·금융·보험 관리자,small,3,1.0,행정·경영·금융·보험 관리자,행정·경영·금융·보험 관리자,0,1.0,12.0,,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,,0|01|012,경영·사무·금융·보험직|관리직(임원·부서장)|행정·경영·금융·보험 관리자,4,False,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,012,v2,2026-03-18,0,012,012,
121,정부 행정 관리자,detail,4,12.0,정부 행정 관리자,정부 행정 관리자,0,1.0,12.0,121.0,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,정부 행정 관리자,0|01|012|0121,경영·사무·금융·보험직|관리직(임원·부서장)|행정·경영·금융·보험 관리자|정부 행정 관리자,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0121,v2,2026-03-18,0,012,0121,0121
122,경영 지원 관리자,detail,4,12.0,경영 지원 관리자,경영 지원 관리자,0,1.0,12.0,122.0,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,경영 지원 관리자,0|01|012|0122,경영·사무·금융·보험직|관리직(임원·부서장)|행정·경영·금융·보험 관리자|경영 지원 관리자,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0122,v2,2026-03-18,0,012,0122,0122
123,마케팅 및 광고·홍보 관리자,detail,4,12.0,마케팅 및 광고·홍보 관리자,마케팅 및 광고·홍보 관리자,0,1.0,12.0,123.0,경영·사무·금융·보험직,관리직(임원·부서장),행정·경영·금융·보험 관리자,마케팅 및 광고·홍보 관리자,0|01|012|0123,경영·사무·금융·보험직|관리직(임원·부서장)|행정·경영·금융·보험 관리자|마케팅 및 광고·홍보 관리자,0,True,KECO,2025 개정,2025-01-01,active,2026-03-11 04:54:09,0123,v2,2026-03-18,0,012,0123,0123
