code,name,name_official,name_clean,level,level_num,level_ko,parent_code,child_count,is_leaf,sort_order,path_codes,path_names,major_code,middle_code,small_code,detail_code,subdetail_code,major_name,middle_name,small_name,detail_name,subdetail_name,source_system,source_version,effective_from,effective_to,status,loaded_at,job_family_id,service_status,job_family_mapping_status,ncs_unit_code,keco_code,onet_soc_code,klevel_band,core_skill_tags,salary_p50,salary_p75,diagnostic_level_band,updated_at
1,관리자,관리자,관리자,major,1,대분류,,5,False,1,1,관리자,1,,,,,관리자,,,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,hierarchy_only,,,,,,,,,,2026-03-23
11,의회‧정부 및 기업 고위직,의회‧정부 및 기업 고위직,의회정부및기업고위직,middle,2,중분류,1.0,2,False,2,1/11,관리자 / 의회‧정부 및 기업 고위직,1,11.0,,,,관리자,의회‧정부 및 기업 고위직,,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,hierarchy_only,,,,,,,,,,2026-03-23
111,의회 의원‧고위 공무원 및 공공단체 임원,의회 의원‧고위 공무원 및 공공단체 임원,의회의원고위공무원및공공단체임원,small,3,소분류,11.0,2,False,3,1/11/111,관리자 / 의회‧정부 및 기업 고위직 / 의회 의원‧고위 공무원 및 공공단체 임원,1,11.0,111.0,,,관리자,의회‧정부 및 기업 고위직,의회 의원‧고위 공무원 및 공공단체 임원,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,hierarchy_only,,,,,,,,,,2026-03-23
1111,의회 의원,의회 의원,의회의원,detail,4,세분류,111.0,0,True,4,1/11/111/1111,관리자 / 의회‧정부 및 기업 고위직 / 의회 의원‧고위 공무원 및 공공단체 임원 / 의회 의원,1,11.0,111.0,1111.0,,관리자,의회‧정부 및 기업 고위직,의회 의원‧고위 공무원 및 공공단체 임원,의회 의원,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,active,auto_mapped,,,,,,,,,2026-03-23
1112,고위 공무원 및 정당‧특수 단체 임원,고위 공무원 및 정당‧특수 단체 임원,고위공무원및정당특수단체임원,detail,4,세분류,111.0,0,True,5,1/11/111/1112,관리자 / 의회‧정부 및 기업 고위직 / 의회 의원‧고위 공무원 및 공공단체 임원 / 고위 공무원 및 정당‧특수 단체 임원,1,11.0,111.0,1112.0,,관리자,의회‧정부 및 기업 고위직,의회 의원‧고위 공무원 및 공공단체 임원,고위 공무원 및 정당‧특수 단체 임원,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,active,auto_mapped,,,,,,,,,2026-03-23
112,기업 대표 및 기업 고위 임원,기업 대표 및 기업 고위 임원,기업대표및기업고위임원,small,3,소분류,11.0,1,False,6,1/11/112,관리자 / 의회‧정부 및 기업 고위직 / 기업 대표 및 기업 고위 임원,1,11.0,112.0,,,관리자,의회‧정부 및 기업 고위직,기업 대표 및 기업 고위 임원,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_STR_05,hierarchy_only,,,,,,,,,,2026-03-23
1120,기업 대표 및 기업 고위 임원,기업 대표 및 기업 고위 임원,기업대표및기업고위임원,detail,4,세분류,112.0,0,True,7,1/11/112/1120,관리자 / 의회‧정부 및 기업 고위직 / 기업 대표 및 기업 고위 임원 / 기업 대표 및 기업 고위 임원,1,11.0,112.0,1120.0,,관리자,의회‧정부 및 기업 고위직,기업 대표 및 기업 고위 임원,기업 대표 및 기업 고위 임원,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_STR_05,active,auto_mapped,,,,,,,,,2026-03-23
12,행정‧경영 지원 및 마케팅 관리직,행정‧경영 지원 및 마케팅 관리직,행정경영지원및마케팅관리직,middle,2,중분류,1.0,2,False,8,1/12,관리자 / 행정‧경영 지원 및 마케팅 관리직,1,12.0,,,,관리자,행정‧경영 지원 및 마케팅 관리직,,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_MKT_01,hierarchy_only,,,,,,,,,,2026-03-16
121,행정 및 경영 지원 관리자,행정 및 경영 지원 관리자,행정및경영지원관리자,small,3,소분류,12.0,2,False,9,1/12/121,관리자 / 행정‧경영 지원 및 마케팅 관리직 / 행정 및 경영 지원 관리자,1,12.0,121.0,,,관리자,행정‧경영 지원 및 마케팅 관리직,행정 및 경영 지원 관리자,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_MKT_01,hierarchy_only,,,,,,,,,,2026-03-16
1211,정부 행정 관리자,정부 행정 관리자,정부행정관리자,detail,4,세분류,121.0,0,True,10,1/12/121/1211,관리자 / 행정‧경영 지원 및 마케팅 관리직 / 행정 및 경영 지원 관리자 / 정부 행정 관리자,1,12.0,121.0,1211.0,,관리자,행정‧경영 지원 및 마케팅 관리직,행정 및 경영 지원 관리자,정부 행정 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_01,active,auto_mapped,,,,,,,,,2026-03-23
1212,경영 지원 관리자,경영 지원 관리자,경영지원관리자,detail,4,세분류,121.0,0,True,11,1/12/121/1212,관리자 / 행정‧경영 지원 및 마케팅 관리직 / 행정 및 경영 지원 관리자 / 경영 지원 관리자,1,12.0,121.0,1212.0,,관리자,행정‧경영 지원 및 마케팅 관리직,행정 및 경영 지원 관리자,경영 지원 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_STR_05,active,auto_mapped,,,,,,,,,2026-03-23
122,마케팅 및 광고‧홍보 관리자,마케팅 및 광고‧홍보 관리자,마케팅및광고홍보관리자,small,3,소분류,12.0,1,False,12,1/12/122,관리자 / 행정‧경영 지원 및 마케팅 관리직 / 마케팅 및 광고‧홍보 관리자,1,12.0,122.0,,,관리자,행정‧경영 지원 및 마케팅 관리직,마케팅 및 광고‧홍보 관리자,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_MKT_01,hierarchy_only,,,,,,,,,,2026-03-16
1220,마케팅 및 광고‧홍보 관리자,마케팅 및 광고‧홍보 관리자,마케팅및광고홍보관리자,detail,4,세분류,122.0,0,True,13,1/12/122/1220,관리자 / 행정‧경영 지원 및 마케팅 관리직 / 마케팅 및 광고‧홍보 관리자 / 마케팅 및 광고‧홍보 관리자,1,12.0,122.0,1220.0,,관리자,행정‧경영 지원 및 마케팅 관리직,마케팅 및 광고‧홍보 관리자,마케팅 및 광고‧홍보 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_MKT_01,active,auto_mapped,,,,,,,,,2026-03-16
13,전문 서비스 관리직,전문 서비스 관리직,전문서비스관리직,middle,2,중분류,1.0,6,False,14,1/13,관리자 / 전문 서비스 관리직,1,13.0,,,,관리자,전문 서비스 관리직,,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_STR_02,hierarchy_only,,,,,,,,,,2026-03-23
131,연구‧교육 및 법률 관련 관리자,연구‧교육 및 법률 관련 관리자,연구교육및법률관련관리자,small,3,소분류,13.0,3,False,15,1/13/131,관리자 / 전문 서비스 관리직 / 연구‧교육 및 법률 관련 관리자,1,13.0,131.0,,,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_EDU_01,hierarchy_only,,,,,,,,,,2026-03-16
1311,연구 관리자,연구 관리자,연구관리자,detail,4,세분류,131.0,0,True,16,1/13/131/1311,관리자 / 전문 서비스 관리직 / 연구‧교육 및 법률 관련 관리자 / 연구 관리자,1,13.0,131.0,1311.0,,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,연구 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_RND_01,active,auto_mapped,,,,,,,,,2026-03-23
1312,교육 관리자,교육 관리자,교육관리자,detail,4,세분류,131.0,0,True,17,1/13/131/1312,관리자 / 전문 서비스 관리직 / 연구‧교육 및 법률 관련 관리자 / 교육 관리자,1,13.0,131.0,1312.0,,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,교육 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_EDU_01,active,auto_mapped,,,,,,,,,2026-03-16
1313,법률‧경찰‧소방 및 교도 관리자,법률‧경찰‧소방 및 교도 관리자,법률경찰소방및교도관리자,detail,4,세분류,131.0,0,True,18,1/13/131/1313,관리자 / 전문 서비스 관리직 / 연구‧교육 및 법률 관련 관리자 / 법률‧경찰‧소방 및 교도 관리자,1,13.0,131.0,1313.0,,관리자,전문 서비스 관리직,연구‧교육 및 법률 관련 관리자,법률‧경찰‧소방 및 교도 관리자,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_PUB_04,active,auto_mapped,,,,,,,,,2026-03-23
132,보험 및 금융 관리자,보험 및 금융 관리자,보험및금융관리자,small,3,소분류,13.0,1,False,19,1/13/132,관리자 / 전문 서비스 관리직 / 보험 및 금융 관리자,1,13.0,132.0,,,관리자,전문 서비스 관리직,보험 및 금융 관리자,,,KSCO,8,2025-01-01,,active,2026-03-10 00:55:07,JF_FIN_01,hierarchy_only,,,,,,,,,,2026-03-16
